9.22,-9.32,4.55,162.0,5.0,420.0
3.53,-12.97,3.67,163.0,13.0,420.0
-0.45,-16.07,3.12,151.0,7.0,425.0
-6.25,-22.26,2.21,130.0,25.0,442.0
-10.29,-32.3,1.51,130.0,121.0,478.0
-13.16,-39.28,-0.42,154.0,216.0,510.0
-15.42,-45.51,-3.75,-56.0,378.0,542.0
-11.27,-46.94,-1.09,525.0,218.0,7.0
-20.01,-45.19,-3.79,151.0,339.0,432.0
-20.95,-41.92,-3.74,134.0,45.0,509.0
-17.91,-41.07,-4.13,90.0,95.0,520.0
-14.67,-39.72,-4.58,33.0,62.0,513.0
-13.22,-38.18,-5.08,15.0,57.0,505.0
27.92,-7.6,24.71,150.0,475.0,460.0
27.62,-7.04,22.7,135.0,472.0,458.0
27.29,-6.49,20.6,114.0,459.0,457.0
26.86,-5.96,18.41,89.0,428.0,455.0
26.34,-5.42,16.13,65.0,385.0,453.0
25.72,-4.84,13.77,35.0,327.0,451.0
25.05,-4.21,11.39,-1.0,261.0,449.0
24.36,-3.59,9.1,-43.0,179.0,446.0
23.58,-2.98,7.01,-83.0,91.0,441.0
22.75,-2.36,5.19,-116.0,3.0,432.0
18.81,1.73,-0.55,-179.0,-219.0,405.0
15.75,3.02,-2.73,-136.0,-164.0,419.0
13.59,0.73,-3.48,6.0,-39.0,419.0
11.15,-2.76,-3.94,119.0,14.0,417.0
7.36,-5.31,-4.52,114.0,-28.0,414.0
3.16,-9.12,-4.42,153.0,-33.0,415.0
-1.94,-15.13,-4.88,178.0,-52.0,424.0
-6.9,-26.05,-5.41,228.0,11.0,453.0
-11.34,-30.64,-7.02,141.0,26.0,473.0
-13.54,-39.05,-7.25,50.0,122.0,509.0
-10.0,-46.42,-4.79,-17.0,340.0,541.0
-11.6,-46.45,-6.3,-209.0,478.0,542.0
-4.66,-43.76,-1.86,403.0,380.0,-85.0
-11.95,-39.28,-3.96,-4.0,332.0,413.0
-12.81,-38.13,-3.35,68.0,83.0,477.0
-11.11,-37.98,-4.54,104.0,113.0,497.0
-9.94,-36.96,-4.4,30.0,94.0,495.0
-9.19,-34.67,-4.24,26.0,72.0,486.0
-9.91,-31.76,-4.47,41.0,73.0,476.0
-10.61,-26.52,-4.65,41.0,97.0,458.0
24.05,-2.62,24.55,221.0,592.0,445.0
23.63,-1.97,22.16,216.0,610.0,444.0
23.06,-1.14,19.47,191.0,615.0,442.0
22.32,-0.14,16.49,150.0,599.0,440.0
21.57,0.85,13.31,102.0,573.0,438.0
20.98,1.75,9.96,48.0,532.0,436.0
20.6,2.48,6.51,-21.0,477.0,436.0
20.38,3.04,3.07,-100.0,399.0,433.0
20.19,3.43,-0.17,-185.0,285.0,428.0
